method,threshold,corruption,severity,accuracy,error_rate,nll,entropy,ece,runtime_sec,selected_fraction,num_samples,subset_size,tta_lr,tta_steps
gated,0.9,gaussian_noise,5,0.5164999961853027,0.48350000381469727,1.451328158378601,1.0608028173446655,0.10791453719139099,1.6411276000000043,0.1555,2000,2000,0.001,1
source,,gaussian_blur,1,0.6934999823570251,0.30650001764297485,0.857119083404541,0.7769707441329956,0.03198041021823883,0.7225566999999984,0.0,2000,2000,,
bn,,gaussian_blur,1,0.6984999775886536,0.30150002241134644,0.8490663766860962,0.8416849970817566,0.026240695267915726,0.7697868999999997,1.0,2000,2000,,
entropy,,gaussian_blur,1,0.7039999961853027,0.29600000381469727,0.834303617477417,0.8029410243034363,0.02705090120434761,1.5637507,1.0,2000,2000,0.001,1
gated,0.5,gaussian_blur,1,0.7024999856948853,0.29750001430511475,0.8342849016189575,0.8041391372680664,0.03438149392604828,1.5427504999999968,0.7675,2000,2000,0.001,1
gated,0.7,gaussian_blur,1,0.703499972820282,0.296500027179718,0.8361121416091919,0.8068010210990906,0.029872361570596695,1.5138882999999979,0.5485,2000,2000,0.001,1
gated,0.9,gaussian_blur,1,0.7049999833106995,0.29500001668930054,0.8384668231010437,0.8122230172157288,0.029912658035755157,1.5323417999999975,0.314,2000,2000,0.001,1
source,,gaussian_blur,2,0.6014999747276306,0.3985000252723694,1.211764931678772,0.9358992576599121,0.057626090943813324,0.772457899999992,0.0,2000,2000,,
bn,,gaussian_blur,2,0.6790000200271606,0.32099997997283936,0.9075470566749573,0.87515789270401,0.016734154894948006,0.7940411000000012,1.0,2000,2000,,
entropy,,gaussian_blur,2,0.6830000281333923,0.31699997186660767,0.8914474844932556,0.8364511728286743,0.024651585146784782,1.6025015999999965,1.0,2000,2000,0.001,1
gated,0.5,gaussian_blur,2,0.6830000281333923,0.31699997186660767,0.8919014930725098,0.8379708528518677,0.024737967178225517,1.5424325000000039,0.75,2000,2000,0.001,1
